Occupation Group,Occupation Group Definition,Occupation,Occupation Definition,Rurality,Year,Supply,Fewer Graduates,More Graduates,Retire Early,Retire Late,Demand,Increased Insurance Coverage,Improved Population Health,Racial Equity,Improved Access (combination scenario),Geographic Parity,Percent Adequacy
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Periodontists,Treat the gums and bones supporting the teeth.,Total,2017,"5,480",5480,5480,5480,5480,"5,480",,,,,,100%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Periodontists,Treat the gums and bones supporting the teeth.,Total,2018,"5,460",5440,5470,5430,5480,"5,520",,,,,,99%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Periodontists,Treat the gums and bones supporting the teeth.,Total,2019,"5,450",5420,5480,5390,5480,"5,580",,,,,,98%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Periodontists,Treat the gums and bones supporting the teeth.,Total,2020,"5,440",5390,5490,5340,5490,"5,640",,,,,,96%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Periodontists,Treat the gums and bones supporting the teeth.,Total,2021,"5,440",5380,5510,5320,5500,"5,690",,,,,,96%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Periodontists,Treat the gums and bones supporting the teeth.,Total,2022,"5,430",5350,5510,5290,5520,"5,730",,,,,,95%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Periodontists,Treat the gums and bones supporting the teeth.,Total,2023,"5,440",5340,5530,5270,5540,"5,770",,,,,,94%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Periodontists,Treat the gums and bones supporting the teeth.,Total,2024,"5,430",5330,5550,5260,5550,"5,820",,,,,,93%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Periodontists,Treat the gums and bones supporting the teeth.,Total,2025,"5,450",5330,5580,5260,5590,"5,870",,,,,,93%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Periodontists,Treat the gums and bones supporting the teeth.,Total,2026,"5,440",5300,5590,5240,5590,"5,920",,,,,,92%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Periodontists,Treat the gums and bones supporting the teeth.,Total,2027,"5,460",5300,5610,5240,5610,"5,970",,,,,,91%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Periodontists,Treat the gums and bones supporting the teeth.,Total,2028,"5,460",5290,5640,5250,5630,"6,010",,,,,,91%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Periodontists,Treat the gums and bones supporting the teeth.,Total,2029,"5,480",5300,5670,5260,5660,"6,040",,,,,,91%
Oral Health,The Oral Health professions include general and specialty dentists and dental hygienists.,Periodontists,Treat the gums and bones supporting the teeth.,Total,2030,"5,490",5290,5690,5260,5670,"6,080",,,,,,90%
Primary Care,"The primary care workforce in this study includes physicians, nurse practitioners (NPs), and physician assistants (PAs) practicing in primary care specialties: family medicine, general pediatric medicine, general internal medicine, and geriatric medicine. Hospitalists are not included.",Family Medicine,"Diagnose, treat, and provide preventive care to individuals and families across the lifespan. May refer patients to specialists when needed for further diagnosis or treatment.",Metro,2018,88930,88930,88930,88930,88930,94780,,,,102080,,94%
Primary Care,"The primary care workforce in this study includes physicians, nurse practitioners (NPs), and physician assistants (PAs) practicing in primary care specialties: family medicine, general pediatric medicine, general internal medicine, and geriatric medicine. Hospitalists are not included.",Family Medicine,"Diagnose, treat, and provide preventive care to individuals and families across the lifespan. May refer patients to specialists when needed for further diagnosis or treatment.",Nonmetro,2018,16470,16470,16470,16470,16470,19060,,,,18160,,86%
Primary Care,"The primary care workforce in this study includes physicians, nurse practitioners (NPs), and physician assistants (PAs) practicing in primary care specialties: family medicine, general pediatric medicine, general internal medicine, and geriatric medicine. Hospitalists are not included.",Family Medicine,"Diagnose, treat, and provide preventive care to individuals and families across the lifespan. May refer patients to specialists when needed for further diagnosis or treatment.",Total,2018,105400,105400,105400,105400,105400,113840,117040,,119690,120240,111970,93%
Primary Care,"The primary care workforce in this study includes physicians, nurse practitioners (NPs), and physician assistants (PAs) practicing in primary care specialties: family medicine, general pediatric medicine, general internal medicine, and geriatric medicine. Hospitalists are not included.",Family Medicine,"Diagnose, treat, and provide preventive care to individuals and families across the lifespan. May refer patients to specialists when needed for further diagnosis or treatment.",Metro,2019,89400,89070,89770,88540,90140,96220,,,,103610,,93%
Primary Care,"The primary care workforce in this study includes physicians, nurse practitioners (NPs), and physician assistants (PAs) practicing in primary care specialties: family medicine, general pediatric medicine, general internal medicine, and geriatric medicine. Hospitalists are not included.",Family Medicine,"Diagnose, treat, and provide preventive care to individuals and families across the lifespan. May refer patients to specialists when needed for further diagnosis or treatment.",Nonmetro,2019,16300,16250,16370,16130,16490,19140,,,,18260,,85%
Primary Care,"The primary care workforce in this study includes physicians, nurse practitioners (NPs), and physician assistants (PAs) practicing in primary care specialties: family medicine, general pediatric medicine, general internal medicine, and geriatric medicine. Hospitalists are not included.",Family Medicine,"Diagnose, treat, and provide preventive care to individuals and families across the lifespan. May refer patients to specialists when needed for further diagnosis or treatment.",Total,2019,105700,105320,106140,104670,106630,115360,118520,,121290,121870,113500,92%
Primary Care,"The primary care workforce in this study includes physicians, nurse practitioners (NPs), and physician assistants (PAs) practicing in primary care specialties: family medicine, general pediatric medicine, general internal medicine, and geriatric medicine. Hospitalists are not included.",Family Medicine,"Diagnose, treat, and provide preventive care to individuals and families across the lifespan. May refer patients to specialists when needed for further diagnosis or treatment.",Metro,2020,89930,89180,90580,88300,91220,97510,,,,104990,,92%
Primary Care,"The primary care workforce in this study includes physicians, nurse practitioners (NPs), and physician assistants (PAs) practicing in primary care specialties: family medicine, general pediatric medicine, general internal medicine, and geriatric medicine. Hospitalists are not included.",Family Medicine,"Diagnose, treat, and provide preventive care to individuals and families across the lifespan. May refer patients to specialists when needed for further diagnosis or treatment.",Nonmetro,2020,16110,16050,16240,15840,16440,19180,,,,18320,,84%
Primary Care,"The primary care workforce in this study includes physicians, nurse practitioners (NPs), and physician assistants (PAs) practicing in primary care specialties: family medicine, general pediatric medicine, general internal medicine, and geriatric medicine. Hospitalists are not included.",Family Medicine,"Diagnose, treat, and provide preventive care to individuals and families across the lifespan. May refer patients to specialists when needed for further diagnosis or treatment.",Total,2020,106040,105230,106820,104140,107660,116690,119920,,122670,123310,114790,91%
